pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
APC by Schneider Electric On Site Service   1 Year   Service,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): APC is a power management and IT infrastructure company; on-site service for 1 year suggests maintenance of electrical/I"
LIQUID HYDROFLUOSILICIC ACID (FLUORIDE MAY-JULY),exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): Hydrofluosilicic acid is a chemical used in water fluoridation treatment; class 180 (GROUP B - PHOSPHORIC ACID) is the c"
911 RADIO DISPATCH CONSOLE SYSTEM REPLACEMENT & MAINTENANCE,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): Radio dispatch console is telecommunications/audio equipment, and NIGP 939 covers maintenance and repair of audio/visual"
"RADIOS, GROUND/TOWER, MARK-UP OR DISCOUNT FROM LATEST ICOM U.S. LAND MOBILE PRODUCT AND PRICE CATALOG",exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): Ground/tower radios are telecommunications equipment; 725 covers telephone equipment and technical support, which is the"
IDS INNOVATIVE ADD ON LICENSE,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=24): Software license for IDS Innovative system most closely aligns with IT/network services, though specific NIGP mapping is"
AUTOMATED RED LIGHT ENFORCEMENT PROGRAM,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Automated red light enforcement involves network systems and digital surveillance infrastructure; NIGP 920 (Network Serv"
1235724: 111th Street: Homan Avenue to Sacramento Avenue (SBI-1) (eProcurement),exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): This appears to be a street construction/resurfacing project between Homan and Sacramento Avenues, which maps to bridge/"
Support of an online vaccination consent system,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Online system development/support falls under IT services; NIGP 920 (network services) is the closest available classifi"
GENERAL CABLE  - GENERAL CABLE  - ALL OTHER COMPANIES & PRODUCTS,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): General Cable is a telecommunications/electrical cable manufacturer; NIGP 280 (telephone cable) is the closest match for"
CATCO TERMINAL 5 SECURITY CAMERA UPGRADES,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Security camera system upgrades fall under audio/visual maintenance and repair, mapped to NIGP 939 (maintenance, testing"
1242725 Project Management Team Service to Support Engaagements and Operational Activities at the Community Safety Coordination Center (CSCC),exact,Professional & Administrative Services,958,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Project management support for operational activities maps to professional administrative services; NIGP 958 (Management"
1221684: Horse Waste Removal and Hauling Services,exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Horse waste removal is a disposal/hauling service; 968 covers disposal services and dumpster/waste pick-up, though the s"
1243892: Water Main and Lead Service Line Replacement: Daycare Centers (E-Procurement),exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=23): Water main and lead service line replacement is a construction/infrastructure repair project; 913 (bridge construction m"
SUBSCRIPTION SERVICES FOR NULINX COPA SYSTEM,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=22): COPA (Citizen and Police Accountability) system subscription is IT network/system services; NIGP 920 (Network Services) "
CATCO TERMINAL 5 BETTERY CHARGER UPGRADES PROJECT,exact,Facilities Operations & Maintenance,287,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=22): Battery charger upgrades at a terminal facility likely relate to power supply and charging infrastructure; code 287 (Bat  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1221796A: PREVENTIVE MAINTENANCE SERVICE PARTS AND REPAIR SERVICES FOR WATER SOFTNER,exact,Facilities Operations & Maintenance,557,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=22): Water softener maintenance and repair services fall under facility operations and maintenance; code 557 covers preventiv"
"1241924: STREET SIGN POSTS, STEEL BASE SECTIONS FOR STREET SIGN POSTS, LOCKING WEDGES, STEEL EXTENSIONS FOR STREET SIGN POSTS, CAST ALUMINUM SIGN POST BASES & CONCRETE ANCHORS",exact,Construction Materials,320,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=22): Street sign posts and bases are structural materials for infrastructure; NIGP 320 covers dowels, concrete reinforcing ro  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Rental of Furniture for the Migrant Mission,exact,Equipment Rental & Leasing,855,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=22): While furniture rental could fit under Furniture & Furnishings, the explicit focus on rental makes Equipment Rental & Le"
"Dell Thunderbolt 4 Dock- WD22TB4: BASE,DS,WD22TB4 US 180W;Dell Thunderbolt 4 Dock - WD22TB4",exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Docking station is IT equipment for computer connectivity, though NIGP 939 is broader for audio/visual system components"
SOUND EQUIPMENT RENTAL AND SERVICES FOR CITY FESTIVALS,exact,Equipment Rental & Leasing,855,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Sound equipment rental for festivals aligns with equipment rental services; code 855 covers mobile stage rental for even"
"MISC. ELECTRICAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) - PHILIPS/SIGNIFY - LIGHTING AND CONTROL PRODUCTS - LIGHTING FIXTURE, CONTROL & RELATED LIGHTING PRODUCTS",exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Lighting fixtures and control products align with facility operations maintenance, though the generic 'miscellaneous' fr"
Palo Alto Networks Premium Support Program   technical support  renewal,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Premium technical support for IT security software is a network/IT service; 920 (Network Services) is the closest match,"
SATCO PRODUCTS INC - Controls & Lighting Products,exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Controls and lighting products for facilities are most likely for building automation and lighting systems; class 285 co  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
TRANSFER FROM PO 52904 MASTER CONSULTING AGREEMENT FOR HUMAN RESOURCE TESTING SERVICES- CATEGORY 1: DEVELOPMENT OF EMPLOYEE SELECTION TESTS AND ASSESSMENTS & CATEGORY 3: COMPUTER BASED EXAM AND TEST CENTERS),exact,Medical & Health Services,948,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Human resource testing and employee selection assessment services are professional advisory services; 948 (Medical Physi  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
2024 AIS FUEL CHARGE TO DFSS,exact,Vehicles & Fleet,405,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): AIS fuel charges are transaction fees associated with fuel purchases; NIGP 405 covers various fuel taxes and fees, thoug"
Programming / Armed and Unarmed Security for Festival Events,exact,Professional & Administrative Services,964,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Security services for events map to 964 (SECURITY GUARDS - UNARMED SECURITY OFFICER), though 'programming' suggests addi"
ID BADGING SUPPLIES FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,exact,"Public Safety, Uniforms & PPE",080,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): ID badging supplies are security/identification items; NIGP 080 covers badges and identification markers, though it spec"
"WORK AND BUSINESS UNIFORMS AND APPAREL, DISCOUNT OFF MOST RECENT GRAINGER CATALOGUE",exact,"Public Safety, Uniforms & PPE",200,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Work uniforms clearly fit Public Safety/Uniforms category; class 200 (UNIFORM FIREFIGHTER) is the closest match in NIGP,"
"MISC. ELECTRICAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) - GE FIXTURES - LIGHTING FIXTURES - LIGHTING FIXTURE, CONTROL & RELATED LIGHTING PRODUCTS",exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=21): Lighting fixtures and controls are facilities equipment; class 285 covers lighting products, though the NOC designation "
"TAPE, MASKING, GENERAL PURPOSE, 60 YD/ROLL - 2 IN. 3M NO. 2090-02 PAINTER'S BLUE OR EQUAL",exact,Facilities Operations & Maintenance,315,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Masking tape is an adhesive product typically used in painting and general maintenance; 315 (ADHESIVE, MASTIC) is the cl  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"PURCHASE, INSTALLATION AND MAINTENANCE OF E-911 EMERGENCY CALL SYSTEM FOR CHICAGO O'HARE AND MIDWAY INT'L AIRPORTS",exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): E-911 system is telecom infrastructure for emergency dispatch; NIGP 725 covers telephone equipment and technical support"
Cable,exact,"IT, Telecom & Audio/Visual",280,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Generic 'cable' description likely refers to telecommunication/aerial cable based on NIGP 280 (telephone cable), though "
"FLUKE - Data Loggers, Testers, Meters, Accessories & All OtherFLUKE - Data Loggers, Testers, Meters, Accessories & All Other",exact,Facilities Operations & Maintenance,941,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Fluke data loggers and testing meters are electronic measurement instruments; NIGP 941 covers testing equipment includin  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
MULTI-PURPOSE UTILITY VEHICLES (GROUP B: MULTI-PURPOSE WHEELED UTILITY TRACTOR) (TRANSFER FROM PO# 81198),exact,Vehicles & Fleet,071,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Multi-purpose utility vehicle maps to sport utility vehicle category; 071 is the closest NIGP match for wheeled utility "
PSYCHOMETRIC & ASSESSMENT SERVICES: PSYCHOLOGICAL SCREENINGS & FITNESS FOR DUTY EVALUATIONS (TRANSFER FROM PO # 19349),exact,Medical & Health Services,948,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Psychological screenings and fitness-for-duty evaluations are medical assessment services; NIGP 948 (Medical Physical Ex  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
BASE/METER CHARGES FOR XEROX EQUIP - MAY24,exact,Equipment Rental & Leasing,985,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=20): Xerox equipment charges are recurring service fees for copier/printer equipment leasing, matching NIGP 985 (lease of cop  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
384567A: Oak Blocks and Wedges,exact,Construction Materials,540,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): Oak blocks and wedges are construction-grade materials used for shoring, blocking, and support, most closely mapped to s  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
REPLACEMENT AND MAINTENANCE OF OEMC 911 PUBLIC EMERGENCY SYSTEM  (TRANSFER FROM PO # 155121),exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): 911 emergency system maintenance involves telecommunications infrastructure support services, best mapped to telephone e"
PACKING DELIVERY,exact,Professional & Administrative Services,699,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): Packing and delivery services most likely involve transportation charges for moving materials; code 699 covers transport"
LIQUID HYDRIFLUOSILICIC ACID,exact,Chemicals & Water Treatment,180,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): Hydrifluosilicic acid is a chemical used in water treatment (fluoridation), best mapped to GROUP B chemicals; confidence"
Medical Review Services (Drug Screen),exact,Medical & Health Services,948,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): Drug screening is a medical examination service; NIGP 948 covers medical/physical examination services, though it specif"
ZENCITY ZENDATA ON PREM SUB 1Y,exact,"IT, Telecom & Audio/Visual",920,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=19): This is a one-year software subscription for Zendata (an on-premise data/feedback platform), best categorized as IT serv"
THERMOFLO 1Y HW WTY,exact,Facilities Operations & Maintenance,031,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=18): THERMOFLO appears to be HVAC-related product with warranty, likely heating system component or chemical treatment; mappe  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Special Castings,exact,Construction Materials,400,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=18): Cast iron castings are commonly used in heavy equipment manufacturing and infrastructure applications, best mapped to cl  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Psychological Services,exact,Medical & Health Services,952,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=18): Psychological services are professional administrative services; NIGP 952 covers counseling services which is the closes  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"HEIDELBERG SX52-4 PRINTING PRESS, PARTS AND SERVICE",exact,Heavy Equipment & Machinery,630,,broad,"AI-mined (Haiku 4.5, conf=medium, row_count=18): Printing press parts and service align with office/print category; 630 covers paint sprayers and equipment but is the cl  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
